PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Joel Embiid,PHI,2023,29,66,43,23,34.6,33.1,11,20.1,54.8,1,3,33,10,11.7,85.7,1.7,8.4,10.2,4.2,3.4,1,1.7,3.1,56.2,39,1,6.4
Luka Doncic,DAL,2023,24,66,33,33,36.2,32.4,10.9,22,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8,3.6,1.4,0.5,2.5,56.8,36,10,1.9
Damian Lillard,POR,2023,32,58,27,31,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4,4.8,7.3,3.3,0.9,0.3,1.9,49.1,16,2,1.8
Shai Gilgeous-Alexander,OKC,2023,24,68,33,35,35.5,31.4,10.4,20.3,51,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4,4.8,5.5,2.8,1.6,1,2.8,50.4,3,0,2.2
Giannis Antetokounmpo,MIL,2023,28,63,47,16,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46,6,5.4
Jayson Tatum,BOS,2023,25,74,52,22,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35,7.2,8.4,85.4,1.1,7.7,8.8,4.6,2.9,1.1,0.7,2.2,49.9,31,1,6.4
Stephen Curry,GSW,2023,35,56,30,26,34.7,29.4,10,20.2,49.3,4.9,11.4,42.7,4.6,5,91.5,0.7,5.4,6.1,6.3,3.2,0.9,0.4,2.1,46.8,12,1,4.8
Kevin Durant,PHX,2023,34,47,34,13,35.6,29.1,10.3,18.3,56,2,4.9,40.4,6.5,7.1,91.9,0.4,6.3,6.7,5,3.3,0.7,1.4,2.1,47.7,5,1,5.5
LeBron James,LAL,2023,38,55,30,25,35.5,28.9,11.1,22.2,50,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,3.2,0.9,0.6,1.6,50.3,18,2,3.9
Donovan Mitchell,CLE,2023,26,68,44,24,35.8,28.3,10,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,2.6,1.5,0.4,2.5,42.9,5,0,5
Devin Booker,PHX,2023,26,53,34,19,34.6,27.8,9.9,20.1,49.4,2.1,6,35.1,5.8,6.8,85.5,0.9,3.7,4.5,5.5,2.7,1,0.3,3,42.7,5,0,4.7
Kyrie Irving,DAL,2023,31,60,32,28,37.3,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1,4.1,5.1,5.5,2.1,1.1,0.8,2.8,44.8,5,0,3.7
Jaylen Brown,BOS,2023,26,67,46,21,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,1.2,5.7,6.9,3.5,2.9,1.1,0.4,2.6,41.6,13,0,3.8
Trae Young,ATL,2023,24,73,38,35,34.8,26.2,8.2,19,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3,10.2,4.1,1.1,0.1,1.4,44.6,40,0,1.4
Ja Morant,MEM,2023,23,61,40,21,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,1,4.9,5.9,8.1,3.4,1.1,0.3,1.6,46,20,7,5
Zion Williamson,NOP,2023,22,29,17,12,33,26,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2,5,7,4.6,3.4,1.1,0.6,2.2,42.8,5,0,5.1
Anthony Davis,LAL,2023,30,56,31,25,34,25.9,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,3.5,9.1,12.5,2.6,2.2,1.1,2,2.6,52,40,0,3.7
Lauri Markkanen,UTA,2023,26,66,32,34,34.4,25.6,8.7,17.3,49.9,3,7.7,39.2,5.3,6,87.5,2,6.7,8.6,1.9,1.9,0.6,0.6,2.1,40.5,28,0,2.5
Julius Randle,NYK,2023,28,77,44,33,35.5,25.1,8.5,18.6,45.9,2.8,8.3,34.3,5.2,6.9,75.7,1.8,8.1,10,4.1,2.8,0.6,0.3,3,43.2,40,0,2.2
De'Aaron Fox,SAC,2023,25,73,44,29,33.4,25,9.3,18.2,51.2,1.6,5,32.4,4.7,6,78,0.5,3.6,4.2,6.1,2.5,1.1,0.3,2.4,41.1,11,0,2.4
Zach LaVine,CHI,2023,28,77,38,39,35.9,24.8,8.7,18,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9,0.2,2.1,37.5,2,0,0.2
Brandon Ingram,NOP,2023,25,45,23,22,34.2,24.7,9,18.6,48.4,1.4,3.6,39,5.3,6,88.2,0.5,5,5.5,5.8,3.3,0.7,0.4,2.6,40.1,6,2,2.1
